base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$
p n a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	p n o	-1.727	-2.4010000000000002	0.32278551001009004	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p n a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ a l	-0.695	No change	p ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
p ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	p ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
p s a l	-0.677	No change	p s a l	-0.677	-1.354	0.740198400851774	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1
p s a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	p s o	-1.727	-2.4010000000000002	0.25980159914822587	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p s a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s a l	-0.612	No change	s a l	-0.612	-1.224	0.764407967099184	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0
s a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s o	-1.727	-2.4010000000000002	0.23559203290081612	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
s a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a l	-0.695	No change	s k ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
s k ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s k ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s n a l	-0.83	No change	s n a l	-0.83	-1.66	0.67721448998991	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1
s n a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s n o	-1.727	-2.4010000000000002	0.32278551001009004	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s n a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-0.695	No change	s p ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
s p ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s p ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-0.695	No change	s t ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
s t ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s t ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s v a l	-0.574	No change	s v a l	-0.574	-1.148	0.7778187434885261	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1
s v a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s v o	-1.727	-2.4010000000000002	0.22218125651147377	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s v a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a l	-0.695	No change	t ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
t ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	t ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
v ʁ a l	-0.695	No change	v ʁ a l	-0.695	-1.39	0.7332158052408108	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1
v ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	v ʁ o	-1.727	-2.4010000000000002	0.26678419475918913	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
v ʁ a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
z a l	-0.612	No change	z a l	-0.612	-1.224	0.764407967099184	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0
z a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	z o	-1.727	-2.4010000000000002	0.23559203290081612	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
z a l	-8.511	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.511	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	k ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
