base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$
d ɛ j	-15.197	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-15.197	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d ʁ ɛ j	-0.06	No change	d ʁ ɛ j	-0.06	-0.12	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
d ʁ ɛ j	-15.197	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-15.197	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d ʁ ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n ɛ j	-0.06	No change	n ɛ j	-0.06	-0.12	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
n ɛ j	-15.197	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-15.197	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ ɛ j	-0.06	No change	p ʁ ɛ j	-0.06	-0.12	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
p ʁ ɛ j	-15.197	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-15.197	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p s ɛ j	-0.06	No change	p s ɛ j	-0.06	-0.12	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
p s ɛ j	-15.197	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-15.197	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p s ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ ɛ j	-0.06	No change	ʁ ɛ j	-0.06	-0.12	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
ʁ ɛ j	-15.197	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-15.197	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z ɛ j	-0.06	No change	z ɛ j	-0.06	-0.12	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0
z ɛ j	-15.197	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-15.197	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ o t ɛ j	-0.06	No change	ʃ o t ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ʃ o t ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ o t ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a n ɛ j	-0.06	No change	f a n ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
f a n ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a n ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a ʁ a s ɛ j	-0.06	No change	f a ʁ a s ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
f a ʁ a s ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a ʁ a s ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ ʁ a s ɛ j	-0.06	No change	ɡ ʁ a s ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ɡ ʁ a s ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ ʁ a s ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ y v ɛ j	-0.06	No change	ʒ y v ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ʒ y v ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ y v ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a ʁ t ɛ j	-0.06	No change	p a ʁ t ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
p a ʁ t ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a ʁ t ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ a f ɛ j	-0.06	No change	ʁ a f ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ʁ a f ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ a f ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ o m ɛ j	-0.06	No change	ʁ o m ɛ j	-0.06	-0.12	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ʁ o m ɛ j	-14.522	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-14.522	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ o m ɛ j	-7.778	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.778	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ o t ɛ l	-0.275	No change	ʃ o t ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
ʃ o t ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ o t ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a n ɛ l	-0.275	No change	f a n ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
f a n ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a n ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a ʁ a s ɛ l	-0.275	No change	f a ʁ a s ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
f a ʁ a s ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a ʁ a s ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ ʁ a s ɛ l	-0.275	No change	ɡ ʁ a s ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
ɡ ʁ a s ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ ʁ a s ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ y v ɛ l	-0.275	No change	ʒ y v ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
ʒ y v ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ y v ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a ʁ t ɛ l	-0.275	No change	p a ʁ t ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
p a ʁ t ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a ʁ t ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ a f ɛ l	-0.275	No change	ʁ a f ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
ʁ a f ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ a f ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ o m ɛ l	-0.275	No change	ʁ o m ɛ l	-0.275	-0.55	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
ʁ o m ɛ l	-7.691	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.691	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ o m ɛ l	-16.29	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-16.29	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a g	-0.336	No change	d a g	-0.336	-0.672	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0
d a g	-8.471	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.471	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a g	-8.128	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.128	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m i d a g	-0.336	No change	m i d a g	-0.336	-0.672	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
m i d a g	-7.797	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.797	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m i d a g	-8.128	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.128	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a s	-0.336	No change	d a s	-0.336	-0.672	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0
d a s	-8.471	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.471	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a s	-8.128	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.128	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m i d a s	-0.336	No change	m i d a s	-0.336	-0.672	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
m i d a s	-7.797	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.797	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m i d a s	-8.128	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.128	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
