		Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]					-0.6552714994525183	-6.221440420950405	0	-7.7069638823510385	0	0	0	-6.07019829765353	0	0	0	0	0	0	-0.13654338335064478	0	0	0	0	0	0	0	0	0	-2.5612187047442676	-1.6467950121475354	-1.7887723901359245	-0.9245514048629266	-0.31507660180001873	-0.36205901016131925	-0.22624569221034535	-0.2751238075344408	-0.8366025824773591	-0.07819665887214093	-0.906583771054898	0	-0.32610824810172845	-3.479371465499732	-0.32610824810172845	0	0	-2.786246212529542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.4961705692732048	-0.48910909699246824	-0.7213235112580098	-1.0873983709569008	-0.2268784131092737	-0.21487965836853154	0	-0.09623169703876222	-0.441758071477805	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
v ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	v ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z a l	-0.646	No change	z a l	-0.646	-1.292	0.5670929049654543	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
z a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	z o	-0.907	-1.562	0.43290709503454566	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a j	-0.431	No change	k ʁ a j	-0.431	-0.862	0.668187772168166	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
k ʁ a j	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	k ʁ o	-0.907	-1.562	0.33181222783183395	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a j	-0.215	No change	f a j	-0.215	-0.43	0.7562078031272459	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f a j	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f o	-0.907	-1.562	0.2437921968727541	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a j	-0.431	No change	f ʁ a j	-0.431	-0.862	0.668187772168166	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
f ʁ a j	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f ʁ o	-0.907	-1.562	0.33181222783183395	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a j	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ɡ n o	-0.907	-1.562	0.5542851826734679	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
