		Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]					-0.6552714994525183	-6.221440420950405	0	-7.7069638823510385	0	0	0	-6.07019829765353	0	0	0	0	0	0	-0.13654338335064478	0	0	0	0	0	0	0	0	0	-2.5612187047442676	-1.6467950121475354	-1.7887723901359245	-0.9245514048629266	-0.31507660180001873	-0.36205901016131925	-0.22624569221034535	-0.2751238075344408	-0.8366025824773591	-0.07819665887214093	-0.906583771054898	0	-0.32610824810172845	-3.479371465499732	-0.32610824810172845	0	0	-2.786246212529542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.4961705692732048	-0.48910909699246824	-0.7213235112580098	-1.0873983709569008	-0.2268784131092737	-0.21487965836853154	0	-0.09623169703876222	-0.441758071477805	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
f ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ɡ n o	-0.907	-1.562	0.6547534606063192	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a l	-1.101	No change	ɡ n a l	-1.101	-2.202	0.3452465393936808	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ a l	-0.646	No change	ʒ a l	-0.646	-1.292	0.5670929049654543	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ʒ o	-0.907	-1.562	0.43290709503454566	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p n a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p n o	-0.907	-1.562	0.6547534606063192	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p n a l	-1.101	No change	p n a l	-1.101	-2.202	0.3452465393936808	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ a l	-0.642	No change	p ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
p ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p s a l	-0.675	No change	p s a l	-0.675	-1.35	0.5528023854446936	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
p s a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p s o	-0.907	-1.562	0.4471976145553063	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s a l	-0.541	No change	s a l	-0.541	-1.082	0.617747874769249	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s o	-0.907	-1.562	0.3822521252307511	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a l	-0.642	No change	s k ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s k ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s k ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s n a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s n o	-0.907	-1.562	0.6547534606063192	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s n a l	-1.101	No change	s n a l	-1.101	-2.202	0.3452465393936808	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-0.642	No change	s p ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s p ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-0.642	No change	s t ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s t ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s v a l	-0.532	No change	s v a l	-0.532	-1.064	0.6536223308995038	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s v a l	-0.792	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s v o	-0.907	-1.699	0.3463776691004961	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a l	-0.642	No change	t ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
t ʁ a l	-0.655	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	t ʁ o	-0.907	-1.562	0.4309441707529759	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v ʁ a l	-0.642	No change	v ʁ a l	-0.642	-1.284	0.569055829247024	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
