base	derivative	spelling.base	spelling.past	base.rating	category	exp1.production	exp2.production	total.production	rating	Rating Residuals	MGL	GCM
ʃ i	ʃ ɔ	shee	shaw	5.95	Single form analogy	0	0	0	3.25	3.50	3.94	4.18
ʃ i	ʃ i d	shee	sheed	5.95	Single form analogy	1	0.875	0.929	6.17	5.81	5.94	5.89
ʃ ɪ l k	ʃ æ l k	shilk	shalk	4.6	IOR neither	0	0	0	3.67	3.64	3.94	4.13
ʃ ɪ l k	ʃ ɪ l k t	shilk	shilked	4.6	IOR neither	1	0.95	0.975	5.79	5.82	5.97	5.17
ʃ ɚ n	ʃ ɚ n d	shurn	shurned	5	Burnt irregular	0.947	0.857	0.9	6.57	6.50	6.02	6.31
ʃ ɚ n	ʃ ɚ n t	shurn	shurnt	5	Burnt irregular	0	0	0	4.22	4.28	3.95	5.11
ʃ aɪ̯ n t	ʃ oʊ̯ n t	shy'nt	shoant	3.52	Few form analogy	0	0.136	0.071	3.83	3.58	3.94	4.23
ʃ aɪ̯ n t	ʃ aʊ̯ n t	shy'nt	shount	3.52	Few form analogy	0	0.045	0.024	3.39	3.14	3.94	4.02
ʃ aɪ̯ n t	ʃ aɪ̯ n t ə d	shy'nt	shy'nted	3.52	Few form analogy	0.8	0.364	0.571	5.17	5.49	6.20	5.49
s k ɛ l	s k ɛ l d	skell	skelled	5.05	Burnt irregular	0.944	0.682	0.8	6.05	5.95	5.86	6.24
s k ɛ l	s k ɛ l t	skell	skelt	5.05	Burnt irregular	0	0.227	0.125	5.32	5.41	4.06	5.23
s n ɛ l	s n ɛ l d	snell	snelled	5.38	Burnt irregular	0.947	0.826	0.881	6.17	5.99	5.86	6.18
s n ɛ l	s n ɛ l t	snell	snelt	5.38	Burnt irregular	0	0.13	0.071	5.30	5.46	4.06	5.25
s n ɛ l	s n oʊ̯ l d	snell	snold	5.38	Few form analogy	0	0	0	2.83	2.95	3.94	4.17
s p æ k	s p æ k t	spack	spacked	5.05	IOR regular	1	0.739	0.86	6.22	6.13	6.01	5.79
s p æ k	s p ʌ k	spack	spuck	5.05	IOR regular	0	0.13	0.07	3.96	4.03	3.94	3.85
s p l ɪ ŋ	s p l æ ŋ	spling	splang	4.56	IOR irregular	0.056	0.158	0.108	4.50	4.48	4.36	4.54
s p l ɪ ŋ	s p l ɪ ŋ d	spling	splinged	4.56	IOR irregular	0.667	0.368	0.514	4.36	4.34	5.14	5.35
s p l ɪ ŋ	s p l ʌ ŋ	spling	splung	4.56	IOR irregular	0.222	0.421	0.324	5.45	5.45	5.19	5.42
s k w ɪ l	s k w ɪ l d	squill	squilled	4.67	Burnt irregular	0.895	0.81	0.85	5.92	5.93	5.86	6.30
s k w ɪ l	s k w ɪ l t	squill	squilt	4.67	Burnt irregular	0	0.048	0.025	5.21	5.22	4.06	5.20
s t ɪ n	s t æ n	stin	stan	5.4	IOR irregular	0	0	0	2.74	2.87	4.27	4.03
s t ɪ n	s t ɪ n d	stin	stinned	5.4	IOR both	0.9	0.522	0.698	5.30	5.08	5.83	6.02
s t ɪ n	s t ʌ n	stin	stun	5.4	IOR both	0.1	0.261	0.186	4.78	4.94	4.34	4.63
s t ɪ p	s t ɪ p t	stip	stipped	5.45	IOR both	1	0.708	0.841	5.92	5.70	6.07	5.88
s t ɪ p	s t ʌ p	stip	stup	5.45	IOR both	0	0.083	0.045	4.50	4.66	4.15	4.26
s t aɪ̯ r	s t aɪ̯ r d	stire	stired	5.62	IOR regular	1	0.818	0.902	6.00	5.74	6.02	6.29
s t aɪ̯ r	s t oʊ̯ r	stire	store	5.62	IOR regular	0	0.091	0.049	3.22	3.40	3.94	4.03
t a r k	t a r k t	tark	tarked	5.1	IOR neither	1	0.87	0.93	6.33	6.24	5.97	5.66
t a r k	t oʊ̯ r k	tark	tork	5.1	IOR neither	0	0.043	0.023	3.71	3.79	3.94	3.85
t i p	t i p t	teep	teeped	4.95	IOR irregular	1	0.783	0.884	5.91	5.84	5.69	5.61
t i p	t ɛ p t	teep	tept	4.95	IOR irregular	0	0.087	0.047	4.70	4.76	4.73	4.20
t ɛ ʃ	t ɛ ʃ t	tesh	teshed	4.71	IOR regular	1	0.87	0.925	6.22	6.23	6.22	5.59
t ɛ ʃ	t a ʃ	tesh	tosh	4.71	IOR regular	0	0	0	3.13	3.12	3.94	3.88
t r ɪ s k	t r æ s k	trisk	trask	5.14	IOR neither	0	0.105	0.051	3.76	3.85	3.94	4.01
t r ɪ s k	t r ɪ s k t	trisk	trisked	5.14	IOR neither	1	0.789	0.897	6.29	6.17	5.97	6.05
t r ɪ s k	t r ʌ s k	trisk	trusk	5.14	IOR neither	0	0.053	0.026	3.62	3.71	3.94	3.94
t ʌ n k	t æ n k	tunk	tank	4.65	IOR neither	0	0.087	0.047	3.92	3.91	3.94	3.86
t ʌ n k	t ʌ n k t	tunk	tunked	4.65	IOR neither	1	0.826	0.907	5.67	5.67	5.62	5.80
w ɪ s	w ɪ s t	whiss	whissed	5.76	IOR regular	0.95	0.952	0.951	6.57	6.28	6.22	5.68
w ɪ s	w ʌ s	whiss	wus	5.76	IOR regular	0	0.048	0.024	3.35	3.56	3.94	3.99
z eɪ̯	z eɪ̯ d	zay	zayed	4.14	Single form analogy	0.95	1	0.977	6.39	6.57	6.13	5.99
z eɪ̯	z ɛ d	zay	zed	4.14	Single form analogy	0	0	0	4.39	4.28	3.94	4.05
