base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	[+low,+syll] ([-syll] ?)*$	[+high,+syll] ([-syll] ?)*$	[-low,+syll] ([-syll] ?)*$	[-high,+syll] ([-syll] ?)*$	[-back,+syll] ([-syll] ?)*$	[-syll] [-syll]$	[-syll] [-syll] [-syll]	[-back,-syll,-lateral] [-syll]	^([-syll] ?)* ?[+syll] ?([-syll] ?)*$	[-syll,+son] [-syll,+son] [+syll]	[-syll,+son] [-syll,-son] [+syll]	[-syll,-son] [-syll,+son] [+syll]	[-syll,-son] [-syll,-son] [+syll]	[-syll] [-syll,+son] [-syll,+son] [+syll]	[-syll] [-syll,+son] [-syll,-son] [+syll]	[-syll] [-syll,-son] [-syll,+son] [+syll]	[-syll] [-syll,-son] [-syll,-son] [+syll]	[+low,+syll] ([-syll] ?)*$	[+high,+syll] ([-syll] ?)*$	[-low,+syll] ([-syll] ?)*$	[-high,+syll] ([-syll] ?)*$	[-back,+syll] ([-syll] ?)*$	[-syll] [-syll]$	[-syll] [-syll] [-syll]	[-back,-syll,-lateral] [-syll]	^([-syll] ?)* ?[+syll] ?([-syll] ?)*$	[-syll,+son] [-syll,+son] [+syll]	[-syll,+son] [-syll,-son] [+syll]	[-syll,-son] [-syll,+son] [+syll]	[-syll,-son] [-syll,-son] [+syll]	[-syll] [-syll,+son] [-syll,+son] [+syll]	[-syll] [-syll,+son] [-syll,-son] [+syll]	[-syll] [-syll,-son] [-syll,+son] [+syll]	[-syll] [-syll,-son] [-syll,-son] [+syll]	F: Ident [back]
		Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]					-5.974552242940602	-7.080785214406037	0	0	0	-4.2561771305512694	0	0	-0.023028404180671647	0	0	0	0	0	-0.0019181206294383972	0	0	0	0	0	0	0	0	-0.5552184554549279	-2.4751728616916506	-0.05277977892617859	0	0	0	-0.09666959127248057	-0.02049130326812116	-0.08003165991654859	0	0	0
		Insert [a] at -1, Delete 1 segment at last nucleus					-3.542845204545006	-6.663528138009077	-0.002999561244166618	0	-1.0613709126246604	-4.131145095558872	-0.08355484612572313	-0.06109619768800446	-0.027281535642495393	-0.006929390254868064	-0.043897923032793475	-0.05887083790642777	-0.05113061421356532	-0.001932449205711937	-0.0009332781437170889	0	-0.009107684785836064	0	0	0	0	0	0	-0.8469231076932109	-1.1253989205506585	-0.07129409275307867	-0.18461907229111219	-0.22579547270552172	-0.10684138898173012	0	-0.03180316471004667	-0.06620479178710803	0	0	0
		Insert [a] at -1					0	0	-2.278193289392715	-2.406301174708261	-0.202225771827821	0	0	-0.12669702634704239	0	-0.0050670327969464385	0	0	0	-0.0011432458822702213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0031885456059652434	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
p u d zj e d	-1.116	Insert [a] at -1, Delete 1 segment at last nucleus	p u d zj d a	-2.198	-3.314	0.06438183156129654	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0
p u d zj e d	-4.887	Insert [a] at -1	p u d zj e d a	0	-4.887	0.013354207112241157	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z d	-4.279	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d o z d a	-0.097	-4.376	0.44842785935508916	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z d	-4.684	Insert [a] at -1	d o z d a	0	-4.684	0.329556502862071	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z d	-4.161	Insert [a] at -1, Delete 1 segment at last nucleus	d z d a	-0.918	-5.079	0.22201563778283975	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0
d zj e zh	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z zh a	-0.705	-0.728	0.9225835912902729	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1
d zj e zh	-1.143	Insert [a] at -1, Delete 1 segment at last nucleus	d zj zh a	-2.269	-3.412	0.06300272539376246	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0
d zj e zh	-4.887	Insert [a] at -1	d zj e zh a	0	-4.887	0.014413683315964688	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z zh	-4.279	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d o z zh a	-0.097	-4.376	0.44842785935508916	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z zh	-4.684	Insert [a] at -1	d o z zh a	0	-4.684	0.329556502862071	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z zh	-4.161	Insert [a] at -1, Delete 1 segment at last nucleus	d z zh a	-0.918	-5.079	0.22201563778283975	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0
sh i d o z zh	-4.256	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	sh i d o z zh a	-0.097	-4.353000000000001	0.4440767056014593	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sh i d o z zh	-4.684	Insert [a] at -1	sh i d o z zh a	0	-4.684	0.3189381854134756	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sh i d o z zh	-4.134	Insert [a] at -1, Delete 1 segment at last nucleus	sh i d z zh a	-0.847	-4.981	0.2369851089850652	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
d zj e zh	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z zh a	-0.705	-0.728	0.9225835912902729	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1
d zj e zh	-1.143	Insert [a] at -1, Delete 1 segment at last nucleus	d zj zh a	-2.269	-3.412	0.06300272539376246	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0
d zj e zh	-4.887	Insert [a] at -1	d zj e zh a	0	-4.887	0.014413683315964688	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sh i d z o zh	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	sh i d z zh a	-0.652	-0.652	0.5563843239444558	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
sh i d z o zh	-0.054	Insert [a] at -1, Delete 1 segment at last nucleus	sh i d z zh a	-0.847	-0.901	0.43374607645228347	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
sh i d z o zh	-4.684	Insert [a] at -1	sh i d z o zh a	0	-4.684	0.009869599603260722	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d zj e zh	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z zh a	-0.705	-0.728	0.9225835912902729	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1
d zj e zh	-1.143	Insert [a] at -1, Delete 1 segment at last nucleus	d zj zh a	-2.269	-3.412	0.06300272539376246	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0
d zj e zh	-4.887	Insert [a] at -1	d zj e zh a	0	-4.887	0.014413683315964688	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z zh	-4.279	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d o z zh a	-0.097	-4.376	0.44842785935508916	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z zh	-4.684	Insert [a] at -1	d o z zh a	0	-4.684	0.329556502862071	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z zh	-4.161	Insert [a] at -1, Delete 1 segment at last nucleus	d z zh a	-0.918	-5.079	0.22201563778283975	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0
gj i d zj e zh	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	gj i d z zh a	-0.652	-0.652	0.9222639613264624	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
gj i d zj e zh	-1.116	Insert [a] at -1, Delete 1 segment at last nucleus	gj i d zj zh a	-2.198	-3.314	0.06438183156129654	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0
gj i d zj e zh	-4.887	Insert [a] at -1	gj i d zj e zh a	0	-4.887	0.013354207112241157	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
x a d o z zh	-4.256	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	x a d o z zh a	-0.097	-4.353000000000001	0.4440767056014593	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
x a d o z zh	-4.684	Insert [a] at -1	x a d o z zh a	0	-4.684	0.3189381854134756	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
x a d o z zh	-4.134	Insert [a] at -1, Delete 1 segment at last nucleus	x a d z zh a	-0.847	-4.981	0.2369851089850652	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
m a d z o zh	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	m a d z zh a	-0.652	-0.652	0.5563843239444558	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
m a d z o zh	-0.054	Insert [a] at -1, Delete 1 segment at last nucleus	m a d z zh a	-0.847	-0.901	0.43374607645228347	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
m a d z o zh	-4.684	Insert [a] at -1	m a d z o zh a	0	-4.684	0.009869599603260722	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d z o m	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z m a	-0.608	-0.631	0.6100331261378983	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
d z o m	-0.081	Insert [a] at -1, Delete 1 segment at last nucleus	d z m a	-1.025	-1.1059999999999999	0.3793704850937997	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
d z o m	-4.684	Insert [a] at -1	d z o m a	0	-4.684	0.010596388768301964	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
kj i d o z m	-4.256	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	kj i d o z m a	0	-4.256	0.47915910090920383	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
kj i d o z m	-4.684	Insert [a] at -1	kj i d o z m a	0	-4.684	0.3123213714773165	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
kj i d o z m	-4.134	Insert [a] at -1, Delete 1 segment at last nucleus	kj i d z m a	-0.954	-5.088	0.2085195276134796	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
l a dj e z m	-4.256	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	l a dj o z m a	0	-4.256	0.6325472696110762	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
l a dj e z m	-4.887	Insert [a] at -1	l a dj e z m a	0	-4.887	0.336552768443225	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
l a dj e z m	-5.196	Insert [a] at -1, Delete 1 segment at last nucleus	l a dj z m a	-2.079	-7.275	0.030899961945698655	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0
d zj e m	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z m a	-0.608	-0.631	0.9326644097519586	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1
d zj e m	-1.143	Insert [a] at -1, Delete 1 segment at last nucleus	d zj m a	-2.335	-3.4779999999999998	0.05411143041937427	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
d zj e m	-4.887	Insert [a] at -1	d zj e m a	0	-4.887	0.013224159828667028	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
x a dj e z m	-4.256	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	x a dj o z m a	0	-4.256	0.6325472696110762	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
x a dj e z m	-4.887	Insert [a] at -1	x a dj e z m a	0	-4.887	0.336552768443225	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
x a dj e z m	-5.196	Insert [a] at -1, Delete 1 segment at last nucleus	x a dj z m a	-2.079	-7.275	0.030899961945698655	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0
sh a d o z m	-4.256	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	sh a d o z m a	0	-4.256	0.47915910090920383	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sh a d o z m	-4.684	Insert [a] at -1	sh a d o z m a	0	-4.684	0.3123213714773165	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sh a d o z m	-4.134	Insert [a] at -1, Delete 1 segment at last nucleus	sh a d z m a	-0.954	-5.088	0.2085195276134796	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
d zj e m	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z m a	-0.608	-0.631	0.9326644097519586	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1
d zj e m	-1.143	Insert [a] at -1, Delete 1 segment at last nucleus	d zj m a	-2.335	-3.4779999999999998	0.05411143041937427	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
d zj e m	-4.887	Insert [a] at -1	d zj e m a	0	-4.887	0.013224159828667028	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
l u d zj e m	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	l u d z m a	-0.555	-0.555	0.9324444938236814	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1
l u d zj e m	-1.116	Insert [a] at -1, Delete 1 segment at last nucleus	l u d zj m a	-2.264	-3.38	0.055302030496688435	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0
l u d zj e m	-4.887	Insert [a] at -1	l u d zj e m a	0	-4.887	0.012253475679629946	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k a d zj e n	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	k a d z n a	-0.555	-0.555	0.9324444938236814	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1
k a d zj e n	-1.116	Insert [a] at -1, Delete 1 segment at last nucleus	k a d zj n a	-2.264	-3.38	0.055302030496688435	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0
k a d zj e n	-4.887	Insert [a] at -1	k a d zj e n a	0	-4.887	0.012253475679629946	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d z o n	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z n a	-0.608	-0.631	0.6100331261378983	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
d z o n	-0.081	Insert [a] at -1, Delete 1 segment at last nucleus	d z n a	-1.025	-1.1059999999999999	0.3793704850937997	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
d z o n	-4.684	Insert [a] at -1	d z o n a	0	-4.684	0.010596388768301964	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sh i d zj e n	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	sh i d z n a	-0.555	-0.555	0.9324444938236814	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1
sh i d zj e n	-1.116	Insert [a] at -1, Delete 1 segment at last nucleus	sh i d zj n a	-2.264	-3.38	0.055302030496688435	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0
sh i d zj e n	-4.887	Insert [a] at -1	sh i d zj e n a	0	-4.887	0.012253475679629946	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d z o n	-0.023	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d z n a	-0.608	-0.631	0.6100331261378983	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
d z o n	-0.081	Insert [a] at -1, Delete 1 segment at last nucleus	d z n a	-1.025	-1.1059999999999999	0.3793704850937997	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
d z o n	-4.684	Insert [a] at -1	d z o n a	0	-4.684	0.010596388768301964	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d o z n	-4.279	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d o z n a	0	-4.279	0.4829260479814443	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d o z n	-4.684	Insert [a] at -1	d o z n a	0	-4.684	0.32210047536315	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d o z n	-4.161	Insert [a] at -1, Delete 1 segment at last nucleus	d z n a	-1.025	-5.186	0.19497347665540565	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
t a dj e z n	-4.256	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	t a dj o z n a	0	-4.256	0.6325472696110762	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
t a dj e z n	-4.887	Insert [a] at -1	t a dj e z n a	0	-4.887	0.336552768443225	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
t a dj e z n	-5.196	Insert [a] at -1, Delete 1 segment at last nucleus	t a dj z n a	-2.079	-7.275	0.030899961945698655	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0
d o z n	-4.279	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	d o z n a	0	-4.279	0.4829260479814443	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d o z n	-4.684	Insert [a] at -1	d o z n a	0	-4.684	0.32210047536315	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d o z n	-4.161	Insert [a] at -1, Delete 1 segment at last nucleus	d z n a	-1.025	-5.186	0.19497347665540565	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0
dj e z n	-4.279	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	dj o z n a	0	-4.279	0.6290261730893072	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
dj e z n	-4.887	Insert [a] at -1	dj e z n a	0	-4.887	0.3424661656740919	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
dj e z n	-5.223	Insert [a] at -1, Delete 1 segment at last nucleus	dj z n a	-2.15	-7.372999999999999	0.02850766123660089	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0
r u d zj e r	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	r u d z r a	-0.555	-0.555	0.9324444938236814	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1
r u d zj e r	-1.116	Insert [a] at -1, Delete 1 segment at last nucleus	r u d zj r a	-2.264	-3.38	0.055302030496688435	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0
r u d zj e r	-4.887	Insert [a] at -1	r u d zj e r a	0	-4.887	0.012253475679629946	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k a d z o r	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	k a d z r a	-0.555	-0.555	0.6053939010309582	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
k a d z o r	-0.054	Insert [a] at -1, Delete 1 segment at last nucleus	k a d z r a	-0.954	-1.008	0.38485988087221495	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
k a d z o r	-4.684	Insert [a] at -1	k a d z o r a	0	-4.684	0.009746218096826733	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g u d zj e r	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	g u d z r a	-0.555	-0.555	0.9324444938236814	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1
g u d zj e r	-1.116	Insert [a] at -1, Delete 1 segment at last nucleus	g u d zj r a	-2.264	-3.38	0.055302030496688435	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0
g u d zj e r	-4.887	Insert [a] at -1	g u d zj e r a	0	-4.887	0.012253475679629946	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gj i d z o r	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	gj i d z r a	-0.555	-0.555	0.6053939010309582	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
