base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	[+low,+syllabic] ([-syllabic] ?)*$	[+high,+syllabic] ([-syllabic] ?)*$	[-low,+syllabic] ([-syllabic] ?)*$	[-high,+syllabic] ([-syllabic] ?)*$	[-back,+syllabic] ([-syllabic] ?)*$	[-syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic]	[-back,-syllabic,-lateral] [-syllabic]	^([-syllabic] ?)* ?[+syllabic] ?([-syllabic] ?)*$	[-syllabic,+son] [-syllabic,+son] [+syllabic]	[-syllabic,+son] [-syllabic,-son] [+syllabic]	[-syllabic,-son] [-syllabic,+son] [+syllabic]	[-syllabic,-son] [-syllabic,-son] [+syllabic]	[-syllabic] [-syllabic,+son] [-syllabic,+son] [+syllabic]	[-syllabic] [-syllabic,+son] [-syllabic,-son] [+syllabic]	[-syllabic] [-syllabic,-son] [-syllabic,+son] [+syllabic]	[-syllabic] [-syllabic,-son] [-syllabic,-son] [+syllabic]	[+low,+syllabic] ([-syllabic] ?)*$	[+high,+syllabic] ([-syllabic] ?)*$	[-low,+syllabic] ([-syllabic] ?)*$	[-high,+syllabic] ([-syllabic] ?)*$	[-back,+syllabic] ([-syllabic] ?)*$	[-syllabic] [-syllabic]$	[-syllabic] [-syllabic] [-syllabic]	[-back,-syllabic,-lateral] [-syllabic]	^([-syllabic] ?)* ?[+syllabic] ?([-syllabic] ?)*$	[-syllabic,+son] [-syllabic,+son] [+syllabic]	[-syllabic,+son] [-syllabic,-son] [+syllabic]	[-syllabic,-son] [-syllabic,+son] [+syllabic]	[-syllabic,-son] [-syllabic,-son] [+syllabic]	[-syllabic] [-syllabic,+son] [-syllabic,+son] [+syllabic]	[-syllabic] [-syllabic,+son] [-syllabic,-son] [+syllabic]	[-syllabic] [-syllabic,-son] [-syllabic,+son] [+syllabic]	[-syllabic] [-syllabic,-son] [-syllabic,-son] [+syllabic]	F: Ident [back]
		Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]					-1.3405860571877677	-3.7472226026017807	0	0	0	0	-0.036129041686355716	0	-0.010462151098244669	-0.015938053174360887	-0.020589727185237272	-0.012225301153593826	-0.003987425749695376	0	-0.0018713948236249345	0	-0.004938168529828332	0	0	0	0	0	0	-0.6604797370766223	0	-0.03854025195326371	-0.06446594331885164	0	-0.02058019324112777	0	-0.022470894024878597	-0.06789435052178272	0	0	-0.2131846581798432
		Insert [a] at -1, Delete 1 segment at last nucleus					-3.54715822261562	-6.663600869851556	-0.00296969578686158	0	-1.061663683595879	-4.136603079508319	-0.08560153567833668	-0.06367133250571061	-0.014484976293864398	-0.0074680347348854495	-0.04469565053354198	-0.060654805558489885	-0.05230966105232167	-0.001928479322663952	-0.0009311178451652732	0	-0.009091655918754694	0	0	0	0	0	0	-0.851774867210477	-1.129982590886077	-0.05901903166393378	-0.177844024012007	-0.22800396006869905	-0.10719299013683492	0	-0.03196806041495292	-0.06596854217127988	0	0	0
		Insert [a] at -1					0	0	-2.278193289391591	-2.406301174707867	-0.2022257718278834	0	0	-0.12669702634696647	0	-0.005067032796928685	0	0	0	-0.0011432458822706625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0031885456059652425	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
b o v	-0.017	Insert [a] at -1, Delete 1 segment at last nucleus	b v a	-0.166	-0.183	0.46907615055783114	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
b o v	-4.684	Insert [a] at -1	b o v a	0	-4.684	0.005205756972000642	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l a bj e v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	l a b v a	-0.234	-0.234	0.8965758304930236	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
l a bj e v	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	l a bj v a	-1.415	-2.48	0.09487714788022376	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
l a bj e v	-4.887	Insert [a] at -1	l a bj e v a	0	-4.887	0.008547021626752702	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bj e v	-0.01	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b v a	-0.272	-0.28200000000000003	0.8983026038780394	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
bj e v	-1.079	Insert [a] at -1, Delete 1 segment at last nucleus	bj v a	-1.474	-2.553	0.09271284116792133	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
bj e v	-4.887	Insert [a] at -1	bj e v a	0	-4.887	0.00898455495403914	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n u b o v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	n u b v a	-0.021	-0.021	0.51967389779249	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
n u b o v	-0.003	Insert [a] at -1, Delete 1 segment at last nucleus	n u b v a	-0.107	-0.11	0.4754213650976416	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
n u b o v	-4.684	Insert [a] at -1	n u b o v a	0	-4.684	0.004904737109868379	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o v	-0.01	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b v a	-0.059	-0.06899999999999999	0.5257180924701682	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
b o v	-0.017	Insert [a] at -1, Delete 1 segment at last nucleus	b v a	-0.166	-0.183	0.46907615055783114	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
b o v	-4.684	Insert [a] at -1	b o v a	0	-4.684	0.005205756972000642	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b a b o v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b a b v a	-0.021	-0.021	0.51967389779249	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b a b o v	-0.003	Insert [a] at -1, Delete 1 segment at last nucleus	b a b v a	-0.107	-0.11	0.4754213650976416	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b a b o v	-4.684	Insert [a] at -1	b a b o v a	0	-4.684	0.004904737109868379	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tj i bj e v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	tj i b v a	-0.234	-0.234	0.8965758304930236	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
tj i bj e v	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	tj i bj v a	-1.415	-2.48	0.09487714788022376	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
tj i bj e v	-4.887	Insert [a] at -1	tj i bj e v a	0	-4.887	0.008547021626752702	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zh u bj e v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	zh u b v a	-0.234	-0.234	0.8965758304930236	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
zh u bj e v	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	zh u bj v a	-1.415	-2.48	0.09487714788022376	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
zh u bj e v	-4.887	Insert [a] at -1	zh u bj e v a	0	-4.887	0.008547021626752702	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kj i bj e v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	kj i b v a	-0.234	-0.234	0.8965758304930236	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
kj i bj e v	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	kj i bj v a	-1.415	-2.48	0.09487714788022376	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
kj i bj e v	-4.887	Insert [a] at -1	kj i bj e v a	0	-4.887	0.008547021626752702	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b a b o v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b a b v a	-0.021	-0.021	0.51967389779249	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b a b o v	-0.003	Insert [a] at -1, Delete 1 segment at last nucleus	b a b v a	-0.107	-0.11	0.4754213650976416	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b a b o v	-4.684	Insert [a] at -1	b a b o v a	0	-4.684	0.004904737109868379	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k u bj e v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	k u b v a	-0.234	-0.234	0.8965758304930236	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
k u bj e v	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	k u bj v a	-1.415	-2.48	0.09487714788022376	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
k u bj e v	-4.887	Insert [a] at -1	k u bj e v a	0	-4.887	0.008547021626752702	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bj e v	-0.01	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b v a	-0.272	-0.28200000000000003	0.8983026038780394	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
bj e v	-1.079	Insert [a] at -1, Delete 1 segment at last nucleus	bj v a	-1.474	-2.553	0.09271284116792133	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
bj e v	-4.887	Insert [a] at -1	bj e v a	0	-4.887	0.00898455495403914	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t a bj e v	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	t a b v a	-0.234	-0.234	0.8965758304930236	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
t a bj e v	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	t a bj v a	-1.415	-2.48	0.09487714788022376	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
t a bj e v	-4.887	Insert [a] at -1	t a bj e v a	0	-4.887	0.008547021626752702	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bj e d	-0.01	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b d a	-0.252	-0.262	0.8953330340501191	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
bj e d	-1.079	Insert [a] at -1, Delete 1 segment at last nucleus	bj d a	-1.417	-2.496	0.09588942974187789	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
bj e d	-4.887	Insert [a] at -1	bj e d a	0	-4.887	0.008777536208003088	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o d	-0.01	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b d a	-0.039	-0.049	0.5042693082132552	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
b o d	-0.017	Insert [a] at -1, Delete 1 segment at last nucleus	b d a	-0.059	-0.076	0.4908361999050724	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
b o d	-4.684	Insert [a] at -1	b o d a	0	-4.684	0.004894491881672355	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l a bj e d	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	l a b d a	-0.213	-0.213	0.8936266959949578	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
l a bj e d	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	l a bj d a	-1.358	-2.423	0.09803142808142061	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
l a bj e d	-4.887	Insert [a] at -1	l a bj e d a	0	-4.887	0.00834187592362171	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g a bj e d	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	g a b d a	-0.213	-0.213	0.8936266959949578	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
g a bj e d	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	g a bj d a	-1.358	-2.423	0.09803142808142061	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
g a bj e d	-4.887	Insert [a] at -1	g a bj e d a	0	-4.887	0.00834187592362171	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sh i b o d	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	sh i b d a	0	0	0.49844324524194517	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sh i b o d	-0.003	Insert [a] at -1, Delete 1 segment at last nucleus	sh i b d a	0	-0.003	0.49695015625950956	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sh i b o d	-4.684	Insert [a] at -1	sh i b o d a	0	-4.684	0.004606598498545228	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o d	-0.01	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b d a	-0.039	-0.049	0.5042693082132552	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
b o d	-0.017	Insert [a] at -1, Delete 1 segment at last nucleus	b d a	-0.059	-0.076	0.4908361999050724	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
b o d	-4.684	Insert [a] at -1	b o d a	0	-4.684	0.004894491881672355	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z u b o d	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	z u b d a	0	0	0.49844324524194517	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
z u b o d	-0.003	Insert [a] at -1, Delete 1 segment at last nucleus	z u b d a	0	-0.003	0.49695015625950956	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
z u b o d	-4.684	Insert [a] at -1	z u b o d a	0	-4.684	0.004606598498545228	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b a b o d	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b a b d a	0	0	0.49844324524194517	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
b a b o d	-0.003	Insert [a] at -1, Delete 1 segment at last nucleus	b a b d a	0	-0.003	0.49695015625950956	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
b a b o d	-4.684	Insert [a] at -1	b a b o d a	0	-4.684	0.004606598498545228	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zj i bj e d	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	zj i b d a	-0.213	-0.213	0.8936266959949578	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
zj i bj e d	-1.065	Insert [a] at -1, Delete 1 segment at last nucleus	zj i bj d a	-1.358	-2.423	0.09803142808142061	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
zj i bj e d	-4.887	Insert [a] at -1	zj i bj e d a	0	-4.887	0.00834187592362171	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lj i b o d	0	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	lj i b d a	0	0	0.49844324524194517	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
lj i b o d	-0.003	Insert [a] at -1, Delete 1 segment at last nucleus	lj i b d a	0	-0.003	0.49695015625950956	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
lj i b o d	-4.684	Insert [a] at -1	lj i b o d a	0	-4.684	0.004606598498545228	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o d	-0.01	Insert [a] at -1, Delete 1 segment at last nucleus, Mutate the segment(s) at -6 to [+back]	b d a	-0.039	-0.049	0.5042693082132552	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
