size	finalConsonant	type	exp1	exp2	exp3
mono	j	al/aj	3.87027027027027	0.5	0.408450704225352
mono	j	el/ej	2.84864864864865	0.25	0.169014084507042
mono	l	al/aj	3.89864864864865	0.442307692307692	0.492957746478873
mono	l	el/ej	2.33516483516484	0.307692307692308	0.169014084507042
poly	j	al/aj	4.79459459459459	0.673076923076923	0.563380281690141
poly	j	el/ej	2.73513513513514	0.211538461538462	0.126760563380282
poly	l	al/aj	5.03963963963964	0.67948717948718	0.661971830985915
poly	l	el/ej	3.05405405405405	0.384615384615385	0.197183098591549
