base	derivative	probability	sublexicon	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	F: Ident [continuant]	F: Ident [voice]	F: Ident [nasal]
ʒ w i s œ ʁ	ʒ w i s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s y s œ ʁ	s y s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ a p o ʁ t œ ʁ	ʁ a p o ʁ t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l ã s œ ʁ	l ã s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l y t œ ʁ	l y t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m e t œ ʁ	m e t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b ʁ ɥ i t œ ʁ	b ʁ ɥ i t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l a v œ ʁ	l a v ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f o ʁ œ ʁ	f o ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l j œ ʁ	l j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b e ʃ œ ʁ	b e ʃ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a ʁ s ə l œ ʁ	a ʁ s ə l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
