base	derivative	probability	sublexicon	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	F: Ident [continuant]	F: Ident [voice]	F: Ident [nasal]
l i z œ ʁ	l i z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d ə m ã d œ ʁ	d ə m ã d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k a v a l œ ʁ	k a v a l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f õ s œ ʁ	f õ s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b y ʃ œ ʁ	b y ʃ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b ʁ i z œ ʁ	b ʁ i z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e k l e ʁ œ ʁ	e k l e ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a s œ ʁ	m a s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k e s t j o n œ ʁ	k e s t j o n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p l ø ʁ œ ʁ	p l ø ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k õ t ʁ o l œ ʁ	k õ t ʁ o l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k o l e k s j o n œ ʁ	k o l e k s j o n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k o ɲ œ ʁ	k o ɲ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a t i n œ ʁ	p a t i n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b a v œ ʁ	b a v ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k e t œ ʁ	k e t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ã p w a z o n œ ʁ	ã p w a z o n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f w i n œ ʁ	f w i n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d i v i z œ ʁ	d i v i z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s e ʁ v œ ʁ	s e ʁ v ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l w œ ʁ	l w ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ e s k i j œ ʁ	ʁ e s k i j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e k o d œ ʁ	d e k o d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m o k œ ʁ	m o k ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e m a ʁ ʃ œ ʁ	d e m a ʁ ʃ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s œ ʁ f œ ʁ	s œ ʁ f ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ j œ ʁ	ʃ j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k u p œ ʁ	k u p ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k o p j œ ʁ	k o p j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ ã ʒ œ ʁ	ʃ ã ʒ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ a f œ ʁ	ɡ a f ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e ʁ u l œ ʁ	d e ʁ u l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v w a j œ ʁ	v w a j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e p a n œ ʁ	d e p a n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a k u ʃ œ ʁ	a k u ʃ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b o s œ ʁ	b o s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k a f a ʁ d œ ʁ	k a f a ʁ d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a ʁ o d œ ʁ	m a ʁ o d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ i k o t œ ʁ	t ʁ i k o t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ã s œ ʁ	p ã s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s u f l œ ʁ	s u f l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k a t ʃ œ ʁ	k a t ʃ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p l i j œ ʁ	p l i j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d ʁ e s œ ʁ	d ʁ e s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ o f i l œ ʁ	p ʁ o f i l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e k u v ʁ œ ʁ	d e k u v ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ a k o l œ ʁ	ʁ a k o l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e ʃ i k t œ ʁ	d e ʃ i k t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a l y m œ ʁ	a l y m ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ã k e t œ ʁ	ã k e t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s õ d œ ʁ	s õ d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k õ f i z œ ʁ	k õ f i z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ i p o t œ ʁ	t ʁ i p o t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b e z œ ʁ	b e z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p e l t œ ʁ	p e l t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l ə v œ ʁ	l ə v ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ã p e ʃ œ ʁ	ã p e ʃ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ a s œ ʁ	ʃ a s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ o m n œ ʁ	p ʁ o m n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ e n œ ʁ	ʒ e n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k õ p l o t œ ʁ	k õ p l o t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b ʁ y l e	b ʁ y l e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s a k ʁ i f j e	s a k ʁ i f j e	1	No change	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
e ɡ z i l e	e ɡ z i l e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a y ʁ i	a y ʁ i	1	No change	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ ə f y z e	ʁ ə f y z e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a l y m e	a l y m e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e s p a ɲ ɔ l	e s p a ɲ ɔ l	1	No change	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s y p e ʁ j œ ʁ	s y p e ʁ j œ ʁ	1	No change	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
i m o ʁ t ɛ l	i m o ʁ t ɛ l	1	No change	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ ə t a ʁ d e	ʁ ə t a ʁ d e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a n ɥ ɛ l	m a n ɥ ɛ l	1	No change	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ a t e	ʁ a t e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i l y m i n e	i l y m i n e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ã ɡ w a s e	ã ɡ w a s e	1	No change	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
