							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k O n s i s	0	Insert [n a k] at -1	k O n s i s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k O n s i s	0	Insert [n e k] at -1	k O n s i s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p E	0	Insert [n a k] at -1	p E n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p E	0	Insert [n e k] at -1	p E n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k U s s i m	0	Insert [n a k] at -1	k U s s i m n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k U s s i m	0	Insert [n e k] at -1	k U s s i m n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p a t l e s	0	Insert [n a k] at -1	p a t l e s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a t l e s	0	Insert [n e k] at -1	p a t l e s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sz u s e r e n ny	0	Insert [n a k] at -1	sz u s e r e n ny n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sz u s e r e n ny	0	Insert [n e k] at -1	sz u s e r e n ny n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
t o n d e s	0	Insert [n a k] at -1	t o n d e s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t o n d e s	0	Insert [n e k] at -1	t o n d e s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m A m o r k E b b	0	Insert [n a k] at -1	m A m o r k E b b n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m A m o r k E b b	0	Insert [n e k] at -1	m A m o r k E b b n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m i l m	0	Insert [n a k] at -1	m i l m n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m i l m	0	Insert [n e k] at -1	m i l m n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs o l f e r e t	0	Insert [n a k] at -1	cs o l f e r e t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs o l f e r e t	0	Insert [n e k] at -1	cs o l f e r e t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
l a l e b	0	Insert [n a k] at -1	l a l e b n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l a l e b	0	Insert [n e k] at -1	l a l e b n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
a k I k l e n	0	Insert [n a k] at -1	a k I k l e n n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a k I k l e n	0	Insert [n e k] at -1	a k I k l e n n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cs E t t	0	Insert [n a k] at -1	cs E t t n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs E t t	0	Insert [n e k] at -1	cs E t t n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b u v i g	0	Insert [n a k] at -1	b u v i g n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b u v i g	0	Insert [n e k] at -1	b u v i g n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
s E r	0	Insert [n a k] at -1	s E r n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s E r	0	Insert [n e k] at -1	s E r n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v e b	0	Insert [n a k] at -1	v e b n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v e b	0	Insert [n e k] at -1	v e b n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o r a z I s	0	Insert [n a k] at -1	o r a z I s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o r a z I s	0	Insert [n e k] at -1	o r a z I s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
l a t o r i n	0	Insert [n a k] at -1	l a t o r i n n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l a t o r i n	0	Insert [n e k] at -1	l a t o r i n n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cs a p a k e s	0	Insert [n a k] at -1	cs a p a k e s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs a p a k e s	0	Insert [n e k] at -1	cs a p a k e s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
n o l g e ny e m p	0	Insert [n a k] at -1	n o l g e ny e m p n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n o l g e ny e m p	0	Insert [n e k] at -1	n o l g e ny e m p n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cs i r ny	0	Insert [n a k] at -1	cs i r ny n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cs i r ny	0	Insert [n e k] at -1	cs i r ny n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c i r	0	Insert [n a k] at -1	c i r n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c i r	0	Insert [n e k] at -1	c i r n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s ue s	0	Insert [n e k] at -1	s ue s n e k	0	0	0.9996599235573433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
s ue s	0	Insert [n a k] at -1	s ue s n a k	-7.986	-7.986	0.0003400764426566478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
v U r v a i b b	0	Insert [n a k] at -1	v U r v a i b b n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v U r v a i b b	0	Insert [n e k] at -1	v U r v a i b b n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k e n s	0	Insert [n a k] at -1	k e n s n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k e n s	0	Insert [n e k] at -1	k e n s n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v e ny	0	Insert [n a k] at -1	v e ny n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v e ny	0	Insert [n e k] at -1	v e ny n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k A r E k	0	Insert [n a k] at -1	k A r E k n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k A r E k	0	Insert [n e k] at -1	k A r E k n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m o t A t m e s	0	Insert [n a k] at -1	m o t A t m e s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m o t A t m e s	0	Insert [n e k] at -1	m o t A t m e s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p a ny I p	0	Insert [n a k] at -1	p a ny I p n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a ny I p	0	Insert [n e k] at -1	p a ny I p n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
v e n c	0	Insert [n a k] at -1	v e n c n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v e n c	0	Insert [n e k] at -1	v e n c n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k o n d l I l l I s	0	Insert [n a k] at -1	k o n d l I l l I s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k o n d l I l l I s	0	Insert [n e k] at -1	k o n d l I l l I s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f A r s e t E l	0	Insert [n a k] at -1	f A r s e t E l n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f A r s e t E l	0	Insert [n e k] at -1	f A r s e t E l n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sz v A z A l m E p	0	Insert [n a k] at -1	sz v A z A l m E p n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sz v A z A l m E p	0	Insert [n e k] at -1	sz v A z A l m E p n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
j a g a l i n c	0	Insert [n a k] at -1	j a g a l i n c n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j a g a l i n c	0	Insert [n e k] at -1	j a g a l i n c n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b e r v	0	Insert [n a k] at -1	b e r v n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b e r v	0	Insert [n e k] at -1	b e r v n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o r cs i p p	0	Insert [n a k] at -1	o r cs i p p n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o r cs i p p	0	Insert [n e k] at -1	o r cs i p p n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f a n d A l l i r	0	Insert [n a k] at -1	f a n d A l l i r n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a n d A l l i r	0	Insert [n e k] at -1	f a n d A l l i r n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
a r v e	0	Insert [n a k] at -1	a r v e n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a r v e	0	Insert [n e k] at -1	a r v e n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
l o d e m	0	Insert [n a k] at -1	l o d e m n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l o d e m	0	Insert [n e k] at -1	l o d e m n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
a k u n z e n d	0	Insert [n a k] at -1	a k u n z e n d n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a k u n z e n d	0	Insert [n e k] at -1	a k u n z e n d n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
s o l l o r t E m	0	Insert [n a k] at -1	s o l l o r t E m n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s o l l o r t E m	0	Insert [n e k] at -1	s o l l o r t E m n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b U k r e g E r	0	Insert [n a k] at -1	b U k r e g E r n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b U k r e g E r	0	Insert [n e k] at -1	b U k r e g E r n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A n l e n	0	Insert [n a k] at -1	A n l e n n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A n l e n	0	Insert [n e k] at -1	A n l e n n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sz O n U gy e	0	Insert [n a k] at -1	sz O n U gy e n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sz O n U gy e	0	Insert [n e k] at -1	sz O n U gy e n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m a t e z g e l t	0	Insert [n a k] at -1	m a t e z g e l t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a t e z g e l t	0	Insert [n e k] at -1	m a t e z g e l t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
t o r E t e n	0	Insert [n a k] at -1	t o r E t e n n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t o r E t e n	0	Insert [n e k] at -1	t o r E t e n n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ny O r o l l e s	0	Insert [n a k] at -1	ny O r o l l e s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ny O r o l l e s	0	Insert [n e k] at -1	ny O r o l l e s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
e k s	0	Insert [n a k] at -1	e k s n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e k s	0	Insert [n e k] at -1	e k s n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A l o r e n s	0	Insert [n a k] at -1	A l o r e n s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A l o r e n s	0	Insert [n e k] at -1	A l o r e n s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
O k E n c	0	Insert [n a k] at -1	O k E n c n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O k E n c	0	Insert [n e k] at -1	O k E n c n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k a e d E n c	0	Insert [n a k] at -1	k a e d E n c n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k a e d E n c	0	Insert [n e k] at -1	k a e d E n c n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
f r E	0	Insert [n a k] at -1	f r E n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f r E	0	Insert [n e k] at -1	f r E n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a n t o r t E m	0	Insert [n a k] at -1	a n t o r t E m n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a n t o r t E m	0	Insert [n e k] at -1	a n t o r t E m n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
h O z I t	0	Insert [n a k] at -1	h O z I t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h O z I t	0	Insert [n e k] at -1	h O z I t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
b u d e sz t	0	Insert [n a k] at -1	b u d e sz t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b u d e sz t	0	Insert [n e k] at -1	b u d e sz t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A b i l i sz	0	Insert [n a k] at -1	A b i l i sz n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A b i l i sz	0	Insert [n e k] at -1	A b i l i sz n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k A sz E n	0	Insert [n a k] at -1	k A sz E n n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k A sz E n	0	Insert [n e k] at -1	k A sz E n n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p A t l e t E m	0	Insert [n a k] at -1	p A t l e t E m n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p A t l e t E m	0	Insert [n e k] at -1	p A t l e t E m n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
h o t e l t	0	Insert [n a k] at -1	h o t e l t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h o t e l t	0	Insert [n e k] at -1	h o t e l t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p o n t i l l	0	Insert [n a k] at -1	p o n t i l l n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p o n t i l l	0	Insert [n e k] at -1	p o n t i l l n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
o r d i r e p	0	Insert [n a k] at -1	o r d i r e p n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o r d i r e p	0	Insert [n e k] at -1	o r d i r e p n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
h a l a l l E d t	0	Insert [n a k] at -1	h a l a l l E d t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h a l a l l E d t	0	Insert [n e k] at -1	h a l a l l E d t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
n o d i	0	Insert [n a k] at -1	n o d i n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n o d i	0	Insert [n e k] at -1	n o d i n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
s o ny A n e s	0	Insert [n a k] at -1	s o ny A n e s n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s o ny A n e s	0	Insert [n e k] at -1	s o ny A n e s n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
