base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
d e C	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	d e C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e C j	-1.623	-1.623	0.01147262282970473	0	0	0	1	0	0
d e C	0	Insert [g] at -1	d e C g	-7.308	-7.308	0.00003896714490157927	0	0	0	1	0	0
f o t	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	f u g	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Mutate the segment(s) at last nucleus to [+glide]	f q t	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	f o k g	0	0	0.07024282149756311	0	0	0	0	1	0
f o t	0	Mutate the segment(s) at last nucleus to [+high]	f u t	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Delete 4 segments at 13,15,17,19	f o t	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	f o k	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	f o t	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Insert [i g] at -1	f o t i g	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	f o d	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	f o	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Insert [o j] at -1	f o t o j	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	f o t	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Mutate the segment(s) at -4 to [-high,+glide]	f q t	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	f o t	0	0	0.07024282149756311	0	0	0	0	0	0
f o t	0	Insert [k] at -1	f o t k	-1.456	-1.456	0.01637831359349415	0	0	0	0	1	0
f o t	0	Insert [w] at -1	f o t w	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
f o t	0	Insert [e] at -1	f o t e	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
f o t	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	f o t j	-7.192	-7.192	0.00005286351465721794	0	0	0	0	1	0
f o t	0	Insert [g] at -1	f o t g	-7.222	-7.222	0.00005130116168677321	0	0	0	0	1	0
d e r r	0	Mutate the segment(s) at last nucleus to [+glide]	d y r r	0	0	0.9800027328553084	1	0	1	0	0	1
d e r r	-4.652	Insert [o j] at -1	d e r r o j	0	-4.652	0.00935167395866684	1	0	1	0	0	0
d e r r	-4.652	Insert [i g] at -1	d e r r i g	0	-4.652	0.00935167395866684	1	0	1	0	0	0
d e r r	-6.914	Insert [k] at -1	d e r r k	0	-6.914	0.0009739019578366235	1	0	1	0	0	0
d e r r	-4.652	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	d e r r	-4.652	-9.304	0.00008923832852425274	1	0	1	1	0	1
d e r r	-4.652	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e r r	-4.652	-9.304	0.00008923832852425274	1	0	1	1	0	1
d e r r	-4.652	Mutate the segment(s) at last nucleus to [+high]	d i r r	-4.829	-9.481	0.00007476206764224069	1	0	1	0	0	1
d e r r	-11.388	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	d e r	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
d e r r	-11.388	Insert [e] at -1	d e r r e	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
d e r r	-11.388	Insert [w] at -1	d e r r w	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
d e r r	-11.388	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e r r j	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
d e r r	-11.389	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e r r g	0	-11.389	0.000011092959627257593	1	0	1	0	0	0
d e r r	-11.391	Insert [g] at -1	d e r r g	0	-11.391	0.000011070795879139112	1	0	1	0	0	0
d e r r	-11.388	Delete 4 segments at 13,15,17,19	d e r r	-4.621	-16.009	1.0929666892235287e-7	1	0	1	1	0	1
d e r r	-11.388	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d i r r	-4.829	-16.217	8.877152358791018e-8	1	0	1	0	0	1
d e r r	-11.388	Mutate the segment(s) at -4 to [-high,+glide]	d e r r	-11.388	-22.776	1.2581608493168943e-10	1	0	1	1	0	1
d e r r	-11.388	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	d e r r	-11.388	-22.776	1.2581608493168943e-10	1	0	1	1	0	1
d e r r	-11.388	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e r r	-11.388	-22.776	1.2581608493168943e-10	1	0	1	1	0	1
d e r r	-11.389	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	d e r r	-11.511	-22.9	1.1114339308744657e-10	1	0	1	1	0	1
l e k	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l i g	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Mutate the segment(s) at last nucleus to [+glide]	l y k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l e k g	0	0	0.05814637706031729	0	0	0	1	0	0
l e k	0	Mutate the segment(s) at last nucleus to [+high]	l i k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Delete 4 segments at 13,15,17,19	l e k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l e k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l e k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Insert [i g] at -1	l e k i g	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	l e g	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Insert [k] at -1	l e k k	0	0	0.05814637706031729	0	0	0	1	0	0
l e k	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	l e	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	l e k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Insert [e] at -1	l e k e	0	0	0.05814637706031729	0	0	0	1	0	0
l e k	0	Insert [w] at -1	l e k w	0	0	0.05814637706031729	0	0	0	1	0	0
l e k	0	Mutate the segment(s) at -4 to [-high,+glide]	l y k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Insert [o j] at -1	l e k o j	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	l e k	0	0	0.05814637706031729	0	0	0	0	0	0
l e k	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l e k j	-1.623	-1.623	0.01147262282970473	0	0	0	1	0	0
l e k	0	Insert [g] at -1	l e k g	-7.308	-7.308	0.00003896714490157927	0	0	0	1	0	0
d e l	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d i l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Mutate the segment(s) at last nucleus to [+glide]	d y l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e l g	0	0	0.05814637706031729	0	0	0	1	0	0
d e l	0	Mutate the segment(s) at last nucleus to [+high]	d i l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Delete 4 segments at 13,15,17,19	d e l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Insert [i g] at -1	d e l i g	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	d e l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Insert [k] at -1	d e l k	0	0	0.05814637706031729	0	0	0	1	0	0
d e l	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	d e	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	d e l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Insert [e] at -1	d e l e	0	0	0.05814637706031729	0	0	0	1	0	0
d e l	0	Insert [w] at -1	d e l w	0	0	0.05814637706031729	0	0	0	1	0	0
d e l	0	Mutate the segment(s) at -4 to [-high,+glide]	d y l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Insert [o j] at -1	d e l o j	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	d e l	0	0	0.05814637706031729	0	0	0	0	0	0
d e l	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e l j	-1.623	-1.623	0.01147262282970473	0	0	0	1	0	0
d e l	0	Insert [g] at -1	d e l g	-7.308	-7.308	0.00003896714490157927	0	0	0	1	0	0
s o l m	0	Mutate the segment(s) at last nucleus to [+glide]	s q l m	0	0	0.8794839221638444	0	1	0	0	0	0
s o l m	-2.094	Insert [k] at -1	s o l m k	0	-2.094	0.10834659302823652	0	1	0	0	0	0
s o l m	-6.518	Insert [o j] at -1	s o l m o j	0	-6.518	0.001298663012539704	0	1	0	0	0	0
s o l m	-6.518	Insert [i g] at -1	s o l m i g	0	-6.518	0.001298663012539704	0	1	0	0	0	0
s o l m	-6.519	Mutate the segment(s) at last nucleus to [+high]	s u l m	0	-6.519	0.0012973649986422794	0	1	0	0	0	0
s o l m	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	s o m	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l m	-6.613	Insert [w] at -1	s o l m w	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l m	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s u l m	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l m	-6.613	Insert [e] at -1	s o l m e	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l m	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	s o l m j	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l m	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s o l m g	0	-6.614	0.001179788615891704	0	1	0	0	0	0
s o l m	-6.615	Insert [g] at -1	s o l m g	0	-6.615	0.0011786094169735364	0	1	0	0	0	0
s o l m	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	s o l m	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
s o l m	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	s o l m	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
s o l m	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	s o l m	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
s o l m	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	s o l m	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
s o l m	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s o l m	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
s o l m	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	s o l m	-6.657	-13.271	0.0000015160231572548167	0	1	0	0	1	0
s o l m	-6.613	Delete 4 segments at 13,15,17,19	s o l m	-6.708	-13.321000000000002	0.0000014420858354052529	0	1	0	0	1	0
k e r t	0	Mutate the segment(s) at last nucleus to [+glide]	k y r t	0	0	0.16394724828760185	1	0	0	0	0	0
k e r t	0	Mutate the segment(s) at last nucleus to [+high]	k i r t	0	0	0.16394724828760185	1	0	0	0	0	0
k e r t	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	k e r t	0	0	0.16394724828760185	1	0	0	1	0	0
k e r t	0	Insert [i g] at -1	k e r t i g	0	0	0.16394724828760185	1	0	0	0	0	0
k e r t	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	k e r d	0	0	0.16394724828760185	1	0	0	1	0	0
k e r t	0	Insert [o j] at -1	k e r t o j	0	0	0.16394724828760185	1	0	0	0	0	0
k e r t	-2.391	Insert [k] at -1	k e r t k	0	-2.391	0.015007419607360736	1	0	0	0	0	0
k e r t	-6.91	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	k i r g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
k e r t	-6.91	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	k e r t j	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
k e r t	-6.91	Delete 4 segments at 13,15,17,19	k e r t	0	-6.91	0.0001635796451911041	1	0	0	1	0	0
k e r t	-6.91	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	k e t	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
k e r t	-6.91	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	k e r k g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
k e r t	-6.91	Insert [e] at -1	k e r t e	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
k e r t	-6.91	Insert [w] at -1	k e r t w	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
k e r t	-6.911	Insert [g] at -1	k e r t g	0	-6.911	0.00016341614730847905	1	0	0	0	0	0
k e r t	-6.91	Mutate the segment(s) at -4 to [-high,+glide]	k e r t	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
k e r t	-6.91	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	k e r t	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
k e r t	-6.91	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	k e r k	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
k e r t	-6.91	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	k e r t	-7.158	-14.068000000000001	1.2736478311586414e-7	1	0	0	1	0	0
t e b r	0	Mutate the segment(s) at last nucleus to [+glide]	t y b r	0	0	0.16394724828760185	1	0	0	0	0	0
t e b r	0	Mutate the segment(s) at last nucleus to [+high]	t i b r	0	0	0.16394724828760185	1	0	0	0	0	0
t e b r	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	t e b r	0	0	0.16394724828760185	1	0	0	1	0	0
t e b r	0	Insert [i g] at -1	t e b r i g	0	0	0.16394724828760185	1	0	0	0	0	0
t e b r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	t e b r	0	0	0.16394724828760185	1	0	0	1	0	0
t e b r	0	Insert [o j] at -1	t e b r o j	0	0	0.16394724828760185	1	0	0	0	0	0
t e b r	-2.391	Insert [k] at -1	t e b r k	0	-2.391	0.015007419607360736	1	0	0	0	0	0
t e b r	-6.91	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	t i b r	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
t e b r	-6.91	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	t e b r j	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
t e b r	-6.91	Delete 4 segments at 13,15,17,19	t e b r	0	-6.91	0.0001635796451911041	1	0	0	1	0	0
t e b r	-6.91	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	t e r	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
t e b r	-6.91	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	t e b r g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
t e b r	-6.91	Insert [e] at -1	t e b r e	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
t e b r	-6.91	Insert [w] at -1	t e b r w	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
t e b r	-6.911	Insert [g] at -1	t e b r g	0	-6.911	0.00016341614730847905	1	0	0	0	0	0
t e b r	-6.91	Mutate the segment(s) at -4 to [-high,+glide]	t e b r	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
t e b r	-6.91	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	t e b r	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
t e b r	-6.91	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	t e b r	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
t e b r	-6.91	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	t e p r	-7.158	-14.068000000000001	1.2736478311586414e-7	1	0	0	1	0	0
g e m b l	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	g i m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at last nucleus to [+glide]	g y m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	g e m b l g	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at last nucleus to [+high]	g i m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	g e m b l j	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	g e m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	g e m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [i g] at -1	g e m b l i g	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	g e m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [k] at -1	g e m b l k	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [g] at -1	g e m b l g	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	g e m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [e] at -1	g e m b l e	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [w] at -1	g e m b l w	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at -4 to [-high,+glide]	g e m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Insert [o j] at -1	g e m b l o j	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Delete 4 segments at 13,15,17,19	g e m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	g e m b l	0	0	0.055553499621989806	0	0	0	0	0	0
g e m b l	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	g e b l	-7.314	-7.314	0.00003700680418314972	0	0	0	1	0	0
s o l t r	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s u l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at last nucleus to [+glide]	s q l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s o l t r g	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at last nucleus to [+high]	s u l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	s o l t r j	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s o l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	s o l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [i g] at -1	s o l t r i g	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	s o l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [k] at -1	s o l t r k	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [g] at -1	s o l t r g	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	s o l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [e] at -1	s o l t r e	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [w] at -1	s o l t r w	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at -4 to [-high,+glide]	s o l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Insert [o j] at -1	s o l t r o j	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Delete 4 segments at 13,15,17,19	s o l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	s o l t r	0	0	0.05555113755374425	0	0	0	0	0	0
s o l t r	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	s o t r	-6.549	-6.549	0.00007952403260319353	0	0	0	0	1	0
t o x	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	t u g	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Mutate the segment(s) at last nucleus to [+glide]	t q x	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	t o x g	0	0	0.07024282149756311	0	0	0	0	1	0
t o x	0	Mutate the segment(s) at last nucleus to [+high]	t u x	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Delete 4 segments at 13,15,17,19	t o x	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	t o k	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	t o x	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Insert [i g] at -1	t o x i g	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	t o g	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	t o	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Insert [o j] at -1	t o x o j	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	t o x	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Mutate the segment(s) at -4 to [-high,+glide]	t q x	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	t o x	0	0	0.07024282149756311	0	0	0	0	0	0
t o x	0	Insert [k] at -1	t o x k	-1.456	-1.456	0.01637831359349415	0	0	0	0	1	0
t o x	0	Insert [w] at -1	t o x w	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
t o x	0	Insert [e] at -1	t o x e	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
t o x	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	t o x j	-7.192	-7.192	0.00005286351465721794	0	0	0	0	1	0
t o x	0	Insert [g] at -1	t o x g	-7.222	-7.222	0.00005130116168677321	0	0	0	0	1	0
C e j	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C i j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Mutate the segment(s) at last nucleus to [+glide]	C y j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C e j g	0	0	0.05814637706031729	0	0	0	1	0	0
